proj,op,state,job_num,job_name,images,fos,ref,held,scanner,datetext
17RTS,Renell,Covers,120807,SCH027,01701,0,0,no,Bismarck,2017-01-03
17NYCS,Greg,Scan,121014,CS1976-12,00008,0,0,no,Bismarck,2017-02-02
17NYCS,Greg,Scan,121015,CS1977-12,00008,0,0,no,Bismarck,2017-02-02
17BCW,Renell,Scan,121353,BCW00036,00353,0,0,no,Wilhelmina,2017-02-02
17RTS,Renell,Covers,120783,SCH003,00281,0,0,no,Cleopatra,2017-02-03
17RTS,Renell,Covers,120784,SCH004,00196,0,0,no,Cleopatra,2017-02-03
17RTS,Renell,Covers,120785,SCH005,00423,0,0,no,Cleopatra,2017-02-03
17RTS,Renell,Covers,120795,SCH015,00615,0,0,no,Gutenberg,2017-02-03
17RTS,Renell,Covers,120797,SCH017,00145,0,0,no,Gutenberg,2017-02-03
17RTS,Renell,Covers,120802,SCH022,00103,0,0,no,Gutenberg,2017-02-03
17RTS,Renell,Covers,120805,SCH025,01193,0,0,no,Gutenberg,2017-02-03
17RTS,Renell,Covers,120806,SCH026,00921,2,0,no,Gutenberg,2017-02-03
17BCW,Adrian,Scan,120846,BCW00003,00521,0,0,no,Gutenberg,2017-02-03
17BCW,Adrian,Scan,120853,BCW00009,00449,0,0,X,Gutenberg,2017-02-03
17BCW,Adrian,Scan,120854,BCW00010,00515,0,0,X,Gutenberg,2017-02-03
17BCW,Adrian,Scan,120855,BCW00011,00453,0,0,X,Gutenberg,2017-02-03
17BCW,ChiChi,Scan,120857,BCW00013,00643,0,0,no,Cleopatra,2017-02-03
17BCW,ChiChi,Scan,120858,BCW00014,00643,0,0,no,Cleopatra,2017-02-03
17BCW,ChiChi,Scan,120865,BCW00021,00609,0,0,no,Cleopatra,2017-02-03
17NYCS,Julius,Scan,121016,CS1979-11,00008,0,0,no,Bismarck,2017-02-03
17NYCS,Julius,Scan,121017,CS1980-06,00012,0,0,X,Bismarck,2017-02-03
17NYCS,Julius,Scan,121018,CS1980-09,00010,0,0,no,Bismarck,2017-02-03
17NYCS,Julius,Scan,121019,CS1980-10,00008,0,0,no,Bismarck,2017-02-03
17NYCS,Julius,Scan,121020,CS1980-11,00008,0,0,no,Bismarck,2017-02-03
17NYCS,Julius,Scan,121021,CS1980-12,00008,0,0,no,Bismarck,2017-02-03
